timestamp,overall_score,revitalization_score,deep_sleep_in_minutes,resting_heart_rate,restlessness,day_of_week,year,month,hour,day_of_week_encoded
2023-06-19 05:58:00,63,63,63,61,0.0962671905697446,Monday,2023,6,5,1
2023-06-20 08:25:00,85,85,110,59,0.0374862183020948,Tuesday,2023,6,8,5
2023-06-21 05:46:30,71,71,93,60,0.0969162995594713,Wednesday,2023,6,5,6
2023-06-22 08:59:30,86,86,146,58,0.0613786591123701,Thursday,2023,6,8,4
2023-06-23 05:57:00,68,68,64,58,0.0495867768595041,Friday,2023,6,5,0
2023-06-24 09:05:30,78,78,120,58,0.0665163472378805,Saturday,2023,6,9,2
2023-06-25 10:03:30,83,83,129,58,0.0543032786885245,Sunday,2023,6,10,3
2023-06-26 07:47:00,75,75,84,59,0.0841379310344827,Monday,2023,6,7,1
2023-06-27 08:32:30,80,80,113,57,0.1134751773049645,Tuesday,2023,6,8,5
2023-06-29 02:39:30,54,54,40,57,0.1491002570694087,Thursday,2023,6,2,4
2023-06-29 10:20:00,73,73,47,57,0.0860719874804381,Thursday,2023,6,10,4
2023-06-30 06:35:00,72,72,65,57,0.0671532846715328,Friday,2023,6,6,0
2023-07-01 08:40:30,88,88,96,58,0.0500544069640914,Saturday,2023,7,8,2
2023-07-02 10:24:00,81,81,91,58,0.0639913232104121,Sunday,2023,7,10,3
2023-07-03 05:54:00,73,73,32,56,0.0677083333333333,Monday,2023,7,5,1
2023-07-04 09:01:00,81,81,139,55,0.1109090909090909,Tuesday,2023,7,9,5
2023-07-05 05:49:30,68,68,52,55,0.0557029177718832,Wednesday,2023,7,5,6
2023-07-07 05:48:30,77,77,67,57,0.0408759124087591,Friday,2023,7,5,0
2023-07-07 11:47:00,45,45,18,57,0.185595567867036,Friday,2023,7,11,0
2023-07-08 09:05:30,85,85,104,58,0.0513368983957219,Saturday,2023,7,9,2
2023-07-09 08:59:00,86,86,103,59,0.063953488372093,Sunday,2023,7,8,3
2023-07-10 05:54:00,75,75,85,59,0.0554699537750385,Monday,2023,7,5,1
2023-07-11 09:14:00,85,85,141,58,0.0649588289112534,Tuesday,2023,7,9,5
2023-07-12 05:48:00,65,65,54,60,0.0626262626262626,Wednesday,2023,7,5,6
2023-07-13 08:21:00,80,80,94,62,0.0561926605504587,Thursday,2023,7,8,4
2023-07-14 05:54:30,75,75,85,62,0.0765550239234449,Friday,2023,7,5,0
2023-07-15 09:13:30,84,84,122,62,0.0833333333333333,Saturday,2023,7,9,2
2023-07-17 05:52:00,75,75,74,61,0.0618556701030927,Monday,2023,7,5,1
2023-07-18 05:48:30,78,78,111,60,0.047556142668428,Tuesday,2023,7,5,5
2023-07-19 08:15:30,77,77,82,61,0.074074074074074,Wednesday,2023,7,8,6
2023-07-20 05:47:30,76,76,62,61,0.0327022375215146,Thursday,2023,7,5,4
2023-07-23 09:38:00,82,82,138,64,0.1177489177489177,Sunday,2023,7,9,3
2023-07-26 09:12:00,84,84,137,64,0.0669144981412639,Wednesday,2023,7,9,6
